t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
2.96,1.32309,0.9,1.32312,0.897972,1.30799,0.938701,-0.00209698,0.00222206,-4.15944e-06,1.07746e-06,0.00117798,0.000252549,0.000476138,1.40438e+06,0
2.98,1.33309,0.9,1.33299,0.897997,1.31787,0.93868,-0.00227381,0.00225056,-4.20322e-06,1.08738e-06,0.00118302,0.000257269,0.00047825,1.40438e+06,0
3,1.34309,0.9,1.34239,0.898018,1.32727,0.938659,-0.0024931,0.00227658,-4.24657e-06,1.09767e-06,0.0011879,0.000261784,0.000480364,1.40438e+06,0
3.02,1.35309,0.9,1.35121,0.898035,1.33608,0.938637,-0.00298802,0.00229968,-4.28866e-06,1.1083e-06,0.00119255,0.000266037,0.00048248,1.40438e+06,0
3.04,1.36309,0.9,1.36138,0.89805,1.34626,0.938606,-0.00335618,0.00232979,-4.35911e-06,1.12303e-06,0.00119801,0.000270965,0.000484598,1.35585e+06,0
3.06,1.37309,0.9,1.3717,0.898064,1.35869,0.93829,-0.00350518,0.00221528,-4.05008e-06,1.08653e-06,0.00116181,0.000263364,0.000478124,1.35585e+06,0
3.08,1.38309,0.9,1.38142,0.898079,1.36841,0.938256,-0.00285786,0.00224297,-4.12744e-06,1.10289e-06,0.00116698,0.000268033,0.000480243,1.35585e+06,0
3.1,1.39309,0.9,1.39198,0.898102,1.37897,0.938226,-0.00190465,0.00227524,-4.19978e-06,1.11746e-06,0.0011727,0.000273125,0.000482364,1.35585e+06,0
3.12,1.40309,0.9,1.40204,0.898127,1.39241,0.937865,-0.00247449,0.00216581,-3.87129e-06,1.07487e-06,0.001138,0.000265476,0.000475921,1.29482e+06,0
3.14,1.41309,0.9,1.41186,0.898149,1.40223,0.93784,-0.00270827,0.00219401,-3.92394e-06,1.0865e-06,0.00114326,0.00027017,0.000478044,1.29482e+06,0
3.16,1.42309,0.9,1.42154,0.898173,1.41191,0.937814,-0.00188932,0.00222149,-3.98065e-06,1.09911e-06,0.00114854,0.000274821,0.000480169,1.29482e+06,0
3.18,1.43309,0.9,1.43164,0.898196,1.42201,0.937795,-0.00305432,0.00225119,-4.02032e-06,1.10835e-06,0.00115414,0.000279692,0.000482296,1.29482e+06,0
3.2,1.44309,0.9,1.44191,0.898211,1.43228,0.937764,-0.00374124,0.0022818,-4.09351e-06,1.12354e-06,0.00115993,0.000284665,0.000484425,1.29482e+06,0
