t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
1.902,0.870061,0.9,0.870491,0.900211,0.831099,0.935803,0.00159778,0.00227162,-3.3896e-07,6.21114e-08,0.00156159,0.000129605,0.000444684,2.82837e+06,0
1.922,0.88006,0.9,0.880616,0.900233,0.843185,0.936611,0.000398165,0.00216301,-2.63965e-07,5.24331e-08,0.00149698,0.00012696,0.000440701,2.55553e+06,0
1.942,0.890058,0.9,0.890549,0.900248,0.853118,0.936615,-5.40826e-05,0.00219181,-2.52496e-07,5.06913e-08,0.00149955,0.000131341,0.000442746,2.55553e+06,0
1.962,0.900057,0.9,0.899845,0.900257,0.862414,0.936615,-0.000670755,0.00221729,-2.53334e-07,5.09151e-08,0.00150203,0.000135461,0.000444793,2.55553e+06,0
1.982,0.910056,0.9,0.910579,0.900259,0.873148,0.936607,-0.00156999,0.00225055,-2.74086e-07,5.4119e-08,0.00150499,0.00014024,0.000446841,2.55553e+06,0
2.002,0.920055,0.9,0.92127,0.900255,0.883839,0.936591,-0.00182966,0.00228356,-3.22897e-07,6.16207e-08,0.00150804,0.000145022,0.00044889,2.55553e+06,0
2.022,0.930055,0.9,0.931119,0.900252,0.893688,0.936573,-0.00128326,0.00231191,-3.71468e-07,6.97121e-08,0.00151094,0.000149448,0.000450941,2.55553e+06,0
2.042,0.940054,0.9,0.941211,0.900252,0.905508,0.937156,-0.00160876,0.00219832,-3.74256e-07,7.24388e-08,0.00145073,0.000145935,0.000446659,2.38207e+06,0
2.062,0.950054,0.9,0.951351,0.900254,0.915649,0.93714,-0.000907881,0.00222824,-4.19205e-07,7.97282e-08,0.00145374,0.00015047,0.000448712,2.38207e+06,0
2.082,0.960054,0.9,0.961312,0.900257,0.925609,0.937131,-0.00141718,0.00225719,-4.43292e-07,8.37892e-08,0.00145678,0.000154945,0.000450766,2.38207e+06,0
2.102,0.970053,0.9,0.970867,0.900259,0.935164,0.937117,-0.00114139,0.002284,-4.78322e-07,8.98964e-08,0.00145978,0.000159257,0.000452821,2.38207e+06,0
