t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
2.946,1.16103,0.9,1.16479,0.900447,1.1402,0.93936,-0.00163475,0.00221656,-9.2709e-07,1.91928e-07,0.00126809,0.000206815,0.000460011,1.63887e+06,0
2.966,1.17103,0.9,1.17399,0.900463,1.1494,0.939345,9.43201e-06,0.00224155,-9.63008e-07,1.98857e-07,0.00127193,0.000211057,0.000462091,1.63887e+06,0
2.986,1.18103,0.9,1.18335,0.900488,1.15876,0.939345,9.66057e-05,0.00226735,-9.60923e-07,1.98827e-07,0.00127592,0.000215392,0.000464173,1.63887e+06,0
3.006,1.19103,0.9,1.19356,0.900513,1.16897,0.939346,-0.000445276,0.00229766,-9.56182e-07,1.98381e-07,0.00128037,0.000220143,0.000466256,1.63887e+06,0
3.026,1.20103,0.9,1.20337,0.900527,1.18145,0.939087,-0.00230385,0.00218426,-8.82939e-07,1.9222e-07,0.00123807,0.000214102,0.000460909,1.54756e+06,0
3.046,1.21103,0.9,1.21346,0.900533,1.19154,0.939064,-0.00219095,0.00221392,-9.44239e-07,2.02948e-07,0.00124244,0.000218765,0.000462994,1.54756e+06,0
3.066,1.22103,0.9,1.22379,0.900539,1.20187,0.939042,-0.00229837,0.00224488,-1.00491e-06,2.13438e-07,0.00124701,0.000223559,0.000465081,1.54756e+06,0
3.086,1.23103,0.9,1.23412,0.900544,1.2122,0.939018,-0.00247534,0.00227586,-1.06849e-06,2.24495e-07,0.00125167,0.000228376,0.00046717,1.54756e+06,0
3.106,1.24103,0.9,1.24385,0.900543,1.22193,0.938994,-0.00350916,0.00230357,-1.12929e-06,2.35761e-07,0.00125616,0.000232934,0.00046926,1.54756e+06,0
3.126,1.25103,0.9,1.25438,0.900537,1.2355,0.93872,-0.00358148,0.00219342,-1.1326e-06,2.43127e-07,0.00121594,0.000226772,0.000463685,1.46252e+06,0
3.146,1.26103,0.9,1.26415,0.900533,1.24526,0.938685,-0.00351111,0.00222131,-1.22203e-06,2.59357e-07,0.00122041,0.000231311,0.000465777,1.46252e+06,0
3.166,1.27103,0.9,1.27484,0.900527,1.25595,0.938647,-0.00375228,0.00225431,-1.32624e-06,2.76855e-07,0.00122541,0.000236303,0.00046787,1.46252e+06,0
3.186,1.28103,0.9,1.28478,0.900517,1.2659,0.93861,-0.00447206,0.00228318,-1.42285e-06,2.9434e-07,0.00123016,0.000240971,0.000469965,1.46252e+06,0
3.206,1.29103,0.9,1.29435,0.900501,1.27547,0.938567,-0.00488564,0.00231008,-1.5298e-06,3.14481e-07,0.00123482,0.000245484,0.000472062,1.46252e+06,0
3.226,1.30103,0.9,1.3045,0.900482,1.28862,0.938284,-0.00521941,0.00219699,-1.52531e-06,3.2469e-07,0.00119595,0.000238697,0.000466258,1.40883e+06,0
3.246,1.31103,0.9,1.31437,0.900458,1.29848,0.938232,-0.00624127,0.00222544,-1.65806e-06,3.4873e-07,0.0012007,0.000243312,0.000468357,1.40883e+06,0
3.266,1.32103,0.9,1.32515,0.900426,1.30926,0.938165,-0.00633304,0.00225897,-1.84683e-06,3.80272e-07,0.001206,0.000248376,0.000470458,1.40883e+06,0
3.286,1.33103,0.9,1.33481,0.900397,1.31892,0.938104,-0.00620711,0.00228633,-2.00096e-06,4.09092e-07,0.00121085,0.000252937,0.00047256,1.40883e+06,0
3.306,1.34103,0.9,1.34417,0.900371,1.32829,0.938046,-0.00597619,0.00231215,-2.14248e-06,4.36595e-07,0.00121563,0.000257378,0.000474664,1.40883e+06,0
3.326,1.35103,0.9,1.35495,0.90034,1.34228,0.937663,-0.0065035,0.00220237,-2.1314e-06,4.49336e-07,0.00117842,0.000250466,0.000468636,1.34309e+06,0
3.346,1.36103,0.9,1.36483,0.900312,1.35216,0.937599,-0.00625425,0.00223092,-2.29622e-06,4.79508e-07,0.00118342,0.000255115,0.000470742,1.34309e+06,0
3.366,1.37103,0.9,1.37438,0.900285,1.36171,0.937539,-0.00648257,0.00225766,-2.44342e-06,5.07649e-07,0.00118834,0.000259624,0.00047285,1.34309e+06,0
3.386,1.38103,0.9,1.38441,0.900256,1.37174,0.937474,-0.00631317,0.00228702,-2.61143e-06,5.38462e-07,0.0011936,0.000264387,0.000474959,1.34309e+06,0
3.406,1.39103,0.9,1.39459,0.900227,1.38191,0.93741,-0.00641837,0.00231711,-2.77867e-06,5.69014e-07,0.00119903,0.000269236,0.00047707,1.34309e+06,0
3.426,1.40103,0.9,1.40447,0.900202,1.3918,0.937347,-0.00563786,0.00234566,-2.93887e-06,5.99338e-07,0.0012044,0.00027397,0.000479183,1.34309e+06,0
3.446,1.41103,0.9,1.41434,0.900184,1.40403,0.937012,-0.00723533,0.00222677,-2.81239e-06,6.01929e-07,0.00116755,0.000265956,0.000472807,1.30265e+06,0
3.466,1.42103,0.9,1.42405,0.900174,1.41374,0.936942,-0.00626842,0.00225439,-2.98741e-06,6.35212e-07,0.00117277,0.000270566,0.000474922,1.30265e+06,0
3.486,1.43103,0.9,1.43422,0.900167,1.42391,0.936878,-0.00663381,0.0022845,-3.1521e-06,6.65563e-07,0.00117832,0.000275417,0.000477038,1.30265e+06,0
3.506,1.44103,0.9,1.44426,0.900153,1.43395,0.936812,-0.00770991,0.00231387,-3.32162e-06,6.97401e-07,0.0011839,0.000280226,0.000479157,1.30265e+06,0
3.526,1.45103,0.9,1.45399,0.900135,1.44687,0.936469,-0.0076508,0.00219808,-3.21046e-06,7.05423e-07,0.00114834,0.000272008,0.000472692,1.23931e+06,0
3.546,1.46103,0.9,1.46452,0.900114,1.4574,0.936388,-0.00831298,0.00223019,-3.42641e-06,7.43592e-07,0.00115413,0.000277007,0.000474812,1.23931e+06,0
3.566,1.47103,0.9,1.47457,0.900089,1.46746,0.936304,-0.00860388,0.00225963,-3.64016e-06,7.83348e-07,0.00115975,0.000281801,0.000476934,1.23931e+06,0
3.586,1.48103,0.9,1.4844,0.900062,1.47728,0.93622,-0.00883554,0.00228783,-3.85087e-06,8.23729e-07,0.00116533,0.000286505,0.000479058,1.23931e+06,0
3.606,1.49103,0.9,1.49485,0.900034,1.48773,0.936128,-0.00837535,0.00231952,-4.09531e-06,8.68087e-07,0.00117138,0.000291537,0.000481184,1.23931e+06,0
3.626,1.50103,0.9,1.50495,0.900004,1.50053,0.93576,-0.00972671,0.00220505,-3.9444e-06,8.74603e-07,0.00113687,0.00028308,0.000474497,1.20252e+06,0
3.646,1.51103,0.9,1.51455,0.899969,1.51013,0.935667,-0.00982753,0.00223207,-4.17198e-06,9.18989e-07,0.00114235,0.000287655,0.000476624,1.20252e+06,0
